id,Justification,Category
743,since it's about to do a right turn.,ego car driving intention:vehicle lateral activity:turning
1101,because traffic is moving forward.,interaction with other road users:traffic:moving forward:normally
383,since it is stuck behind traffic.,interaction with other road users:traffic:stop
521,since there were no cars behind.,unclassified
965,as the vehicle in front of it drives forward slowly.,interaction with other road users:lead vehicle:moving forward:slowly
1047,The car has moved through the intersection,ego car driving intention:vehicle longitudinal activity:driving forward
1780,as the cars in front are moving quicker.,interaction with other road users:lead vehicle:moving forward:fast
258,The car is is stopping in the roadway,ego car driving intention:vehicle longitudinal activity:stop
1309,to pass a stopped car.,interaction with other road users:lead vehicle:stop
442,because the car that obstructed has accelerated.,interaction with other road users:lead vehicle:accelerating
905,since the car had just turned right.,ego car driving intention:vehicle lateral activity:turning
18,because of a stop sign.,traffic conditions:traffic sign:stop sign
2010,because the light is green and traffic is moving.,traffic conditions:traffic light:green light&interaction with other road users:traffic:moving forward:normally
350,Traffic ahead of the car is slowly advancing.,interaction with other road users:traffic:moving forward:slowly
1486,when the vehicle in front of it moves forward.,interaction with other road users:lead vehicle:moving forward:normally
1668,as it prepares to park.,ego car driving intention:vehicle longitudinal activity:park
393,because another car pulls into the lane.,unclassified
157,as traffic in front of it moves slowly past vehicles stopped on the right side of the road.,interaction with other road users:lead vehicle:moving forward:slowly
2003,The car has completed its passing maneuver and is moving toward an intersection ahead.,ego car driving intention:vehicle longitudinal activity:passing
675,because it's waiting for traffic to clear.,interaction with other road users:traffic:stop
1987,because it's waiting for traffic to clear.,interaction with other road users:traffic:stop
1987,There are no obstructions ahead of the car on the roadway,road condition:availability:clear road
274,because the vehicle in front of it is driving at a normal speed.,interaction with other road users:lead vehicle:moving forward:normally
662,because the vehicle in front of it is driving at a normal speed.,interaction with other road users:lead vehicle:moving forward:normally
662,since it is turning left and the light is red.,traffic conditions:traffic light:red light
1111,because the car in front has stopped.,interaction with other road users:lead vehicle:stop
386,because there are no cars near it.,road condition:availability:clear road
2092,The car has completed its lane change maneuver and is driving forward in the left hand lane.,ego car driving intention:vehicle lateral activity:changing lane&ego car driving intention:vehicle longitudinal activity:driving forward
2117,since the light will be green.,traffic conditions:traffic light:green light
1926,because the traffic light is red.,traffic conditions:traffic light:red light
1260,because traffic is slowing down.,interaction with other road users:traffic:decelerating
1958,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
1176,because the stopped car is partially in its lane.,interaction with other road users:lead vehicle:stop
1566,"The car is slowing to a stop as it enters a roadway, yielding to traffic on the roadway",ego car driving intention:vehicle lateral activity:decelerating
1587,The car is approaching an intersection controlled by a stop sign.,traffic conditions:traffic sign:stop sign
1007,since the lane is clear of cars.,road condition:availability:clear road
1048,since it can't move forward.,ego car driving intention:vehicle longitudinal activity:stop
1466,The car has completed its passing maneuver and is moving forward down the roadway.,ego car driving intention:vehicle longitudinal activity:passing&ego car driving intention:vehicle longitudinal activity:driving forward
970,since there is a car up ahead to keep track of.,unclassified
670,since the light is red.,traffic conditions:traffic light:red light
1753,because traffic is starting to go through the green light.,traffic conditions:traffic light:green light
150,while waiting for the stoplight to change,traffic conditions:traffic sign:stop sign
1476,The car is approaching an intersection controlled by a stop sign,traffic conditions:traffic sign:stop sign
1338,because the light has turned green and traffic is advancing.,traffic conditions:traffic light:green light
2030,because traffic is stopped.,interaction with other road users:traffic:stop
615,because cars ahead are backed up at a light.,interaction with other road users:lead vehicle:decelerating
457,because it has the right of way.,unclassified
2032,because it is parked near the left side of the street.,ego car driving intention:vehicle longitudinal activity:park
1705,as it takes evasive action to avoid the car that is riding the center lane,unclassified
983,because traffic is moving forward.,interaction with other road users:traffic:moving forward:normally
439,since there is no traffic.,road condition:availability:clear road
1688,to avoid a vehicle parked on the right side of the road.,interaction with other road users:lead vehicle:park
1838,at the red light.,traffic conditions:traffic light:red light
363,Traffic ahead of the car is stopped at an intersection controlled by a red light.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
946,to wait for cross traffic to subside.,interaction with other road users:traffic:heavy
1653,because the lane to the right is free.,road condition:availability:clear road
956,because the van in front wasn't moving,interaction with other road users:lead vehicle:stop
25,because the lights are green and there is little traffic.,traffic conditions:traffic light:green light
3,because there are no cars in its lane of traffic.,road condition:availability:clear road
770,as the vehicle in front of it slows.,interaction with other road users:lead vehicle:decelerating
861,since it is trying to move further slightly.,ego car driving intention:vehicle longitudinal activity:driving forward
1218,because there are no nearby cars in its lane.,road condition:availability:clear road
1049,since the cars in front got to close to the car.,unclassified
1307,Traffic ahead of the car is stopped,interaction with other road users:lead vehicle:stop
1777,as it moves in heavy traffic,interaction with other road users:traffic:heavy
1017,because there are no other cars on the road.,road condition:availability:clear road
1537,because there is no nearby traffic.,road condition:availability:clear road
1569,because the car was on the right side.,unclassified
1068,since the cars in front are also driving too.,interaction with other road users:lead vehicle:moving forward:normally
1516,because the driver decided to stop for a bit.,ego car driving intention:vehicle longitudinal activity:stop
1868,because traffic ahead is moving slowly.,interaction with other road users:traffic:moving forward:slowly
171,to avoid a car driving quickly in the lane to its left.,interaction with other road users:traffic:moving forward:fast
392,because the car had moved into the road.,unclassified
580,because traffic in front of it is stopped.,traffic conditions:traffic sign:stop sign
1908,because a turning car has just moved out of the way and the lights ahead are green.,traffic conditions:traffic light:green light
901,because there are no nearby cars in front of it.,road condition:availability:clear road
36,The car is making a left hand turn through an intersection,ego car driving intention:vehicle lateral activity:turning
1355,until the light turns green.,traffic conditions:traffic light:green light
238,as it continues down the road,ego car driving intention:vehicle longitudinal activity:driving forward
1876,The car is approaching an intersection controlled by a stop sign.,traffic conditions:traffic sign:stop sign
271,because the street is clear.,road condition:availability:clear road
