id,justification,Category
4360,because the intersection is free of traffic and pedestrians,road condition:availability:clear road
14810,because the road was clear and other cars were not in the same lane.,road condition:availability:clear road
11352,As traffic ahead of it is moving slow and then the upcoming traffic light at the intersection turns from green to yellow to red and cars stop at the red light.,traffic conditions:traffic light:green light&traffic conditions:traffic light:red light
1300,The light is still red.,traffic conditions:traffic light:red light
3328,as the light is red.,traffic conditions:traffic light:red light
8630,as traffic moves forward.,interaction with other road users:traffic:moving forward:normally
7297,because the road is clear.,road condition:availability:clear road
8863,because traffic in front of it is moving freely.,interaction with other road users:traffic:moving forward:normally
9094,because the path is clear.,road condition:availability:clear road
8836,since the road is clear and traffic ahead is moving.,interaction with other road users:traffic:moving forward:normally&road condition:availability:clear road
6550,as it approaches a red light.,traffic conditions:traffic light:red light
6235,Because the car is parked.,ego car driving intention: vehicle longitudinal activity:park
139,as the road is clear.,road condition:availability:clear road
6905,because there is a gap in traffic and the on ramp ends.,unclassified
9743,to allow another car to merge into its lane.,unclassified
7313,to avoid an object partially in its lane on the right side of the road.,unclassified
6121,because it is turning right.,ego car driving intention: vehicle lateral activity:turning
5903,since the light is green,traffic conditions:traffic light:green light
3189,to be moving at the speed limit,unclassified
4582,for the red light.,traffic conditions:traffic light:red light
1049,because the light is red.,traffic conditions:traffic light:red light
3198,as the road is free of lights or traffic.,road condition:availability:clear road
11401,because the light is red.,traffic conditions:traffic light:red light
3537,because traffic is moving quickly,interaction with other road users:traffic:moving forward:fast
10397,as it fully enters the new street and gains speed.,unclassified
15443,as the cars ahead slowly readjust.,interaction with other road users:traffic:moving forward:slowly
1932,to make a left turn.,ego car driving intention: vehicle lateral activity:turning
8460,because it's pulling around the stopped car.,interaction with other road users:lead vehicle:stop&ego car driving intention: vehicle longitudinal activity:passing
15776,because traffic is moving quickly.,interaction with other road users:traffic:moving forward:fast
787,The car has arrived at an intersection with a red light.,traffic conditions:traffic light:red light
870,because there is a stop sign.,traffic conditions:traffic sign:stop sign
11639,because there were no cars.,road condition:availability:clear road
12669,as traffic is stopped and the light ahead is red.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
3943,since the intersection is clear.,road condition:availability:clear road
5773,because its lane of traffic is moving freely.,interaction with other road users:traffic:moving forward:normally
16223,because the car in front has stopped.,interaction with other road users:lead vehicle:stop
2467,because there are cars parked near the right curb.,ego car driving intention: vehicle longitudinal activity:park
10021,so that it may enter an exit ramp.,road condition:availability:exit
7235,as a car is merging into the lane in front of it.,ego car driving intention: vehicle longitudinal activity:merging
5253,as the light has turned green.,traffic conditions:traffic light:green light
2724,The traffic ahead of the car has come to a stop,interaction with other road users:traffic:stop
7866,so that it may enter another road.,ego car driving intention: vehicle lateral activity:enter another road
12276,because the road is clear.,road condition:availability:clear road
5597,because the light is red.,traffic conditions:traffic light:red light
10955,because the truck is not moving,ego car driving intention: vehicle longitudinal activity:stop
3946,because traffic ahead is moving very slow.,interaction with other road users:traffic:moving forward:slowly
1357,to avoid cars stopped in the intersection ahead,interaction with other road users:traffic:stop
12070,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
16028,as it is approaching a stop light and a pedestrian is crossing the road.,interaction with other road users:pedestrians and cyclists: crossing&traffic conditions:traffic light:red light
12088,because the street is clear.,road condition:availability:clear road
10478,as it waits for a break in traffic,ego car driving intention: vehicle longitudinal activity:stop
4092,because no traffic is seen and the car can safely park.,road condition:availability:clear road
12157,because passengers are entering the car.,unclassified
310,for an unknown reason.,unclassified
1452,There are no obstructions in the roadway ahead.,road condition:availability:clear road
5240,for the red light.,traffic conditions:traffic light:red light
5005,because there is a truck stopped ahead and the light is red.,interaction with other road users:lead vehicle:stop&traffic conditions:traffic light:red light
14850,because the street is empty.,road condition:availability:clear road
4995,because that is the direction to leave the parking lot and enter the road.,ego car driving intention: vehicle lateral activity:enter another road
14530,because it is following the flow of traffic.,unclassified
13496,because traffic is moving forward at a steady pace.,interaction with other road users:traffic:moving forward:normally
10739,because the lane is clear.,road condition:availability:clear road
16167,because the lane is clear.,road condition:availability:clear road
242,for an unknown reason.,unclassified
13402,as it approaches slow moving traffic ahead and the right lane is open.,interaction with other road users:traffic:moving forward:slowly
14163,because the traffic light ahead turns red.,traffic conditions:traffic light:red light
9621,as the roadway is clear.,road condition:availability:clear road
11092,as traffic moves forward.,interaction with other road users:traffic:moving forward:normally
13669,while heading down the road,ego car driving intention: vehicle longitudinal activity:driving forward
929,because traffic is moving smoothly.,interaction with other road users:traffic:moving forward:normally
16164,because it is icy and dangerous.,No Label
15377,because it is turning onto a road at an intersection.,ego car driving intention: vehicle lateral activity:turning
1067,because traffic is clear.,interaction with other road users:traffic:light&road condition:availability:clear road
6561,because there are no other cars on the road.,road condition:availability:clear road
13518,while approaching stopped traffic,interaction with other road users:traffic:stop
9311,because the lane is empty.,road condition:availability:clear road
7811,as traffic in front of it accelerates.,interaction with other road users:traffic:accelerating
6717,since the car in front has its turn signal on and is preparing to turn left at the stop sign.,traffic conditions:traffic sign:stop sign
5799,since the road is clear of traffic,road condition:availability:clear road
3996,because the light is red.,traffic conditions:traffic light:red light
4618,because it is parked in a parking lot,ego car driving intention: vehicle longitudinal activity:park
11629,because the car is merging back onto the highway.,ego car driving intention: vehicle longitudinal activity:merging
5006,Because traffic is stopped and the light is red.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
11656,as there is a vehicle turning right in the lane ahead.,ego car driving intention: vehicle lateral activity:turning
9641,because traffic is not moving,interaction with other road users:traffic:stop
12255,as it approaches a stop sign.,traffic conditions:traffic sign:stop sign
3951,because the lanes are shifting and there are cars ahead.,ego car driving intention: vehicle lateral activity:changing lane
7457,because the vehicle in front of it is slowing.,interaction with other road users:lead vehicle:moving forward:slowly
8163,because there is no traffic.,road condition:availability:clear road
8573,as it prepares to turn left.,ego car driving intention: vehicle lateral activity:turning
12488,because it is approaching a red light.,traffic conditions:traffic light:red light
6147,so that it can stay on its current road as its lane splits into two lanes.,unclassified
99,The light controlling the intersection is red.,traffic conditions:traffic light:red light
14014,because the light is green,traffic conditions:traffic light:green light
10715,while running another stop sign,traffic conditions:traffic sign:stop sign
7088,as the vehicle in front of it brakes for a speed bump.,road condition:speed regulations:speed bump
2732,because the driver is parked and waiting for something.,ego car driving intention: vehicle longitudinal activity:park
7682,as the light is red.,traffic conditions:traffic light:red light
11257,because traffic has stopped.,interaction with other road users:traffic:stop
11768,because the light has turned green and the intersection is clear.,road condition:availability:clear road&traffic conditions:traffic light:green light
2231,because it is parked.,ego car driving intention: vehicle longitudinal activity:park
6515,when another car enters its lane.,unclassified
8055,as there is a car stopped in front of it.,interaction with other road users:lead vehicle:stop
5925,because it's pulling around the truck.,ego car driving intention: vehicle longitudinal activity:passing
10011,as traffic has slowed ahead.,interaction with other road users:traffic:moving forward:slowly
22,due to traffic in front of it stopping and starting.,interaction with other road users:traffic:stop
14045,because it is very dark.,No Label
14434,because it's moving into a parking space.,ego car driving intention: vehicle longitudinal activity:park
14732,to be on the road again,unclassified
541,because the light is green.,traffic conditions:traffic light:green light
13616,while changing lanes,ego car driving intention: vehicle lateral activity:changing lane
14713,to remain on its current road.,unclassified
6422,as it has approached an intersection.,unclassified
15825,because the car to the left has moved forward and has made room.,ego car driving intention: vehicle longitudinal activity:driving forward
7884,at a red light.,traffic conditions:traffic light:red light
13692,in order to pass the cars in the other lanes.,ego car driving intention: vehicle longitudinal activity:passing
12280,because the car in front has slowed down.,interaction with other road users:lead vehicle:moving forward:slowly
9210,because the car is making a left hand turn.,ego car driving intention: vehicle lateral activity:turning
2842,to avoid the standing water on side of the road.,No Label
12716,because the car in front has stopped.,interaction with other road users:lead vehicle:stop
337,There is a stop sign.,traffic conditions:traffic sign:stop sign
3548,because the street is clear.,road condition:availability:clear road
9795,because the car in front has started to move.,interaction with other road users:lead vehicle:moving forward:normally
10390,because it's at an intersection,unclassified
8405,because the light is green and traffic in front of it is moving normally.,traffic conditions:traffic light:green light&interaction with other road users:lead vehicle:moving forward:normally
12581,as the lane is clear.,road condition:availability:clear road
10138,because the path is clear.,road condition:availability:clear road
2086,to move around a stopped vehicle.,ego car driving intention: vehicle longitudinal activity:passing&interaction with other road users:lead vehicle:stop
3703,as the street ahead is clear,road condition:availability:clear road
1525,because it has completed its turn.,ego car driving intention: vehicle lateral activity:turning
10628,as the bus in front of it has stopped.,interaction with other road users:lead vehicle:stop
13473,as the road is clear.,road condition:availability:clear road
4751,because the road ahead is clear.,road condition:availability:clear road
